adoption_id,country,regulatory_authority,applicable_entity,adoption_timeline,remark,created_at,updated_at
11,싱가포르(Singapore),도입·감독 주체: 싱가포르거래소 규제기관(SGX RegCo) – 지속가능성 보고자문위원회(SRAC) 및 통화청(MAS) 협력,적용 대상: 싱가포르 증권거래소 상장사 및 일정 규모 이상의 비상장사,"적용 단계 일정: 2025년 회계연도부터 기후관련 공시 의무화 개시 – IFRS S2에 완전 부합하는 기후공시를 단계적으로 도입, 2027~2030년 대상 확대 및 Scope3 등 포함 예정","싱가포르는 2024년 9월 싱가포르거래소(SGX)가 발표한 새로운 규정에 따라 기후공시를 의무화하며 ISSB 기준을 적극 수용하고 있습니다. 구체적으로 2025년부터 상장사는 IFRS S2에 준하는 기후관련 재무공시를 제공해야 하며, IFRS S1 일반공시 중 기후와 연관된 원칙들을 적용하도록 규정되었습니다. 다만 Scope 3 배출량 공시는 초기에는 요구되지 않으며, 향후 몇 년 내 기후공시 제도의 안착을 지켜본 뒤 지속가능성의 다른 주제로 공시범위를 넓힐 계획입니다. 이러한 의무공시는 2025~2030년에 걸쳐 단계적으로 확대되어, 상장사뿐 아니라 대형 비상장사에도 적용될 예정이며, 싱가포르는 아시아 최초로 비상장사까지 기후공시를 확대한 사례로 평가됩니다",,
12,홍콩(Hong Kong),도입·감독 주체: 홍콩 회계사협회(HKICPA) – 증권선물위원회(SFC) 및 홍콩거래소(HKEX) 협업,적용 대상: 우선 공공책임기업(상장법인 및 규제 금융기관 등) 위주 도입,"적용 단계 일정: 2024년 12월 HKICPA가 HKFRS S1·S2 제정(IFRS S1,S2 동일); 2025년 1월부터 HKEX 상장사 기후공시 “준수 또는 설명” 기준 적용, 2026년부터 모든 상장사 기후공시 의무화","홍콩은 기존에 자율적인 ESG공시 제도가 있었으나, ISSB 기준에 맞춰 공시체계를 강화하고 있습니다. 2024년 말 홍콩회계사협회(HKICPA)는 HKFRS S1 및 S2 지속가능성공시기준을 공표하였는데, 이는 IFRS S1, S2와 직결되는 홍콩 버전의 기준입니다. 해당 기준은 우선 상장기업 및 금융기관 등 공공책임기업에 2025년 8월 1일부터 적용 가능하며, 실제 의무적용 여부와 시기는 규제기관(SFC, HKEX)이 결정하도록 하였습니다. 한편 홍콩거래소는 별도로 상장사 기후공시 의무화 로드맵을 발표하여, 2025년에는 IFRS S2에 따른 기후관련 공시를 “준수 또는 설명” 방식으로 요구하고 2026년부터는 전 상장사에 완전 의무화할 계획입니다. 이를 통해 홍콩은 국제기준과 보조를 맞추어 ESG공시 수준을 높이고 있습니다.",,
13,대한민국(South Korea),도입·감독 주체: 한국 지속가능성기준원(KSSB) – 금융위원회 및 회계기준원 지원,적용 대상: (미정) 유가증권신고 의무기업 등 대규모 기업 대상 예상,"적용 단계 일정: 2024년 5월 KSSB가 한국형 지속가능성 공시기준 KSSB 1·2 및 101 제정(IFRS S1, S2 기준 반영); 구체적 시행시기와 대상은 아직 확정되지 않음","우리나라는 2023년 말 금융당국이 한국 지속가능성 기준원(KSSB)을 신설하고 2024년 5월 첫 지속가능성 공시기준을 발표하면서 IFRS S1, S2 도입 논의를 시작했습니다. 발표된 KSSB 1, KSSB 2 기준은 각각 IFRS S1(지속가능성 일반공시)과 IFRS S2(기후공시)를 거의 그대로 따른 것이며, 추가로 KSSB 101 기준을 별도로 두어 국내 법령상 요구사항 등 특수사항 공시에 대한 지침을 제공하고 있습니다. 다만 현재까지 어떤 기업을 언제부터 의무적용할지에 대해서는 금융위 등 감독당국의 최종 결정이 이루어지지 않아, 관련 법령 개정과 시장 준비 상황에 따라 적용 대상과 일정이 확정될 것으로 보입니다",,
14,말레이시아(Malaysia),도입·감독 주체: 말레이시아 증권위원회(SC) – 지속가능공시 자문위원회(ACSR),적용 대상: 모든 상장법인(Main 시장 및 ACE 시장) + 연 매출 20억 링깃 초과 대형 비상장사,"적용 단계 일정: 2024년 9월 국가 지속가능공시 프레임워크(NSRF) 발표로 ISSB 기준 공식 도입; 2025년 메인시장 시가총액 20억 링깃 이상 대기업 1단계 적용, 2026년 나머지 메인시장 상장사 적용 및 ACE시장 상장사와 대형 비상장사까지 확대","말레이시아는 2024년 초 ISSB 기준 도입에 관한 자문보고서를 거쳐, 2024년 9월 국가 지속가능성공시 체계(NSRF)를 발표하며 IFRS S1, S2를 자국 공시기준의 기반으로 공식 채택하였습니다. NSRF에 따르면 모든 상장기업과 매출 20억 링깃 초과 비상장대기업이 ISSB 공시기준을 따라야 하며, 2025년에는 메인시장 상장사 중 시가총액 20억 링깃 이상 기업들이 우선 적용하고, 2026년에는 나머지 모든 메인시장 상장사에 확대 적용됩니다. 또한 2026년까지 ACE 중소기업 시장 상장사들과 대형 비상장사들도 순차적으로 동 기준을 적용하게 되어, 2년에 걸쳐 대상 전반에 ISSB 공시가 도입될 예정입니다.",,
15,대만(Taiwan),도입·감독 주체: 금융감독위원회(FSC),적용 대상: 대만 증권거래소 상장법인 (자본 규모에 따른 단계적 적용),"적용 단계 일정: 2023년 8월 FSC가 ISSB 기준 도입 로드맵 발표; 2026년부터 IFRS S1, S2 전면 채택 시작, 이후 ISSB 신규기준도 지속 평가·도입 예정. 2026년 회계연도부터 자본금 규모 큰 기업 순으로 의무공시 시행, ISSB 권고 전환유예 조항 동일 적용","대만 금융감독위원회(FSC)는 2023년 8월 상장사 대상 ISSB 기준 적용 로드맵을 공개하며 IFRS S1과 S2를 2026년부터 도입할 계획을 공식화했습니다. 이에 따르면 대만은 2026년 회계연도부터 ISSB 지속가능성 공시기준을 상장기업에 적용하기 시작하며, 자본 규모 등 일정 기준을 충족하는 기업부터 단계적으로 의무화할 방침입니다. ISSB 기준서의 전환유예(Transition relief) 규정도 그대로 준용하여 기업 부담을 완화하고, ISSB에서 추가로 발행하는 주제별 기준도 신속히 검토하여 도입하겠다는 입장입니다. FSC는 2026년 기후공시를 시작으로 향후 기후기준(IFRS S2)을 2027년까지 시행하고, 2030년까지 전체 지속가능성 공시기준 세트를 완비하여 국제적 정합성을 높일 계획입니다",,
16,파키스탄(Pakistan),도입·감독 주체: 파키스탄 증권거래위원회(SECP),적용 대상: 상장법인 (자산·매출·직원 규모에 따른 대형기업부터 단계 적용),"적용 단계 일정: 2023년 12월 국가회계기준위원회 산하 워킹그룹이 ISSB 도입 권고; 2025년 1월 1일부로 IFRS S1, S2 도입 발표, 우선 일부 대형 상장사부터 적용 개시하여 점진적 확대 예정","파키스탄에서는 2023년 말 회계기준위원회 산하 지속가능성 작업반이 ISSB 기준 도입을 위한 연구와 공청회를 거쳐 정책권고를 제시했고, 이를 바탕으로 2025년 1월 1일부로 파키스탄 증권위(SECP)가 IFRS S1, S2의 공식 도입을 발표했습니다. 적용은 상장기업을 대상으로 자산, 매출, 직원수 등의 요건을 충족하는 기업부터 단계적으로 실시될 예정으로, 우선 대규모 상장사들이 새로운 지속가능성 공시를 시작하고 이후 중소규모 상장사로 범위를 넓혀갈 계획입니다. 이러한 접근을 통해 2025년부터 파키스탄 자본시장에서 국제기준에 부합하는 지속가능성 정보공시가 시작될 전망입니다.",,
17,스리랑카(Sri Lanka),도입·감독 주체: 스리랑카 공인회계사협회(CA Sri Lanka) – 금융위원회 협력,적용 대상: 콜롬보증권거래소(CSE) 상장기업 및 대형 비상장사,"적용 단계 일정: 2025년 1월 1일 Sri Lanka 지속가능공시기준(SLFRS S1, S2) 의무도입 시작, 2030년 전체 대상 전면 적용 목표. 2025년 보고에는 CSE 시총 상위 100대 기업 우선 적용, 2027년까지 모든 Main Board 상장사 확대, 2028~29년 연매출 LKR 100억/50억 초과 비상장사 단계 적용, 2030년 나머지 중소 상장사까지 완료","스리랑카는 2023년 공인회계사협회(CA Sri Lanka)를 통해 ISSB 기준을 채택한 Sri Lanka 지속가능성공시기준(SLFRS S1 및 S2)의 도입을 발표하고, 2025년부터 단계적 의무화에 돌입합니다. 1단계로 2025년 보고분부터 CSE 상장기업 중 시가총액 상위 100대 기업이 우선 IFRS S1, S2 기반 공시를 시행하고, 2단계로 2027년까지 CSE 메인보드의 모든 상장사로 확대됩니다. 이어 3단계에서는 2028년부터 직전 2개년 평균 매출 1,000억 루피 이상 비상장사, 2029년에는 매출 500억 루피 이상 비상장사에 적용하여, 최종적으로 2030년에 모든 상장사(중소기업 보드 포함)가 ISSB 공시기준에 따른 보고체계를 갖추게 될 예정입니다.",,
18,중국(China),도입·감독 주체: 중국 재정부(MOF) – 기업회계기준위원회 등 협력,적용 대상: 중국 내 모든 기업 (우선 상장사부터 단계 도입),"적용 단계 일정: 2025년 5월 재정부가 ISSB 기반 기업 지속가능공시 기본기준 초안 발표; 2026년 상장사부터 단계적 적용 시작, 2027년까지 IFRS S2 기반 기후공시 기준 시행 목표, 2030년까지 전체 지속가능공시 기준 세트 완비 및 전면 시행 계획","중국 정부는 2025년 5월 ISSB 기준을 반영한 자국 지속가능성 공시기준안을 공개하며, 글로벌 공시기준 도입에 동참하겠다는 의지를 보였습니다. 재정부가 발표한 초안 「기업 지속가능공시 – 기본기준」은 모든 중국 기업이 준수해야 할 전반적 공시 요구사항을 담고 있으며, 이후 주제별 기준으로 기후관련 공시기준(IFRS S2 기반) 등을 2027년까지 마련하여 우선 상장사들부터 적용할 예정입니다. 전체 지속가능성 공시기준 체계는 2030년까지 완성하여 순차적으로 상장사 → 비상장 대기업 → 중소기업으로 적용 범위를 넓힐 계획입니다. 중국은 국가 경제 규모를 고려하여 자국 상황에 맞는 완화조치와 단계적 의무화를 병행하면서도, 2030년경에는 글로벌 기준과 조화된 공시체계를 갖추려 하고 있습니다.",,
19,튀르키예(Türkiye),도입·감독 주체: 공공감독회계감사기구(KGK),적용 대상: 일정 기준을 충족하는 기업(자산·매출·종업원 규모 기준) 및 은행 등 금융기관,"적용 단계 일정: 2023년 12월 KGK가 IFRS S1, S2를 터키어 번역 채택(TSRS 1, TSRS 2 발행); 2024년부터 순차적으로 대상기업들에 공시 의무화 시행, 동시에 2024년부터 지속가능성 정보에 대한 외부검증(한정검증) 의무화 시작","튀르키예는 2023년 말 지속가능성 보고 의무화 계획을 발표하며, ISSB의 IFRS S1과 S2를 번역한 터키 지속가능보고기준(TSRS 1, 2)를 공식 채택했습니다. 대상은 총자산·순매출·직원수 등 일정 요건을 충족하는 기업들과 모든 은행으로서, KGK는 이들 기업에 지속가능성 정보 공시를 단계적으로 의무화할 예정입니다. 특히 튀르키예는 공시뿐 아니라 지속가능성 정보에 대한 외부감사까지도 일찍이 도입하여, 2024년부터 기업 지속가능경영 보고서에 대해 국제감사기준(IAASB)의 향후 ISSA 5000 기준에 따른 보증을 받도록 하고, 그 전에는 한시적으로 기존 감사기준(ISAE 3000 등)에 따른 한정검증을 의무화했습니다. 이는 기업 공시 신뢰성을 담보하기 위한 조치로, 튀르키예는 ISSB 기준 도입과 함께 검증체계도 선제적으로 구축하고 있는 점이 특징입니다.",,
20,나이지리아(Nigeria),도입·감독 주체: 나이지리아 재무보고위원회(FRC),적용 대상: 모든 기업 (우선 자발적 적용 후 단계적 의무화),"적용 단계 일정: 2024년 4월 FRC가 지속가능공시 기준 도입 로드맵 확정 – 현재 2026년까지 자발적 준수 기간, 2027년부터 단계적 의무화 돌입, 2028년 1월 1일 이후 모든 기업에 전면 의무화 목표","나이지리아는 2024년 초 금융보고위원회(FRC)가 ISSB 기준 도입 로드맵을 발표하며 IFRS S1, S2를 국가 공시체계에 통합할 계획을 공식화했습니다. 이 로드맵에 따르면 2026년까지는 기업들이 ISSB 공시기준을 자발적으로 적용하도록 유도하고, 2027년부터는 일정 규모 이상의 기업들에 의무공시를 단계 도입한 후, 2028년 1월 1일부로 모든 기업에 대해 공시를 전면 의무화할 예정입니다. 현재 나이지리아는 ISSB 기준을 권고 차원에서 활용하는 자발적 채택 단계에 있으며, FRC는 공시 모니터링 및 이행지원, 감사·검증 프레임워크 마련 등을 병행하여 2028년 완전 의무화에 차질이 없도록 추진하고 있습니다",,
21,가나(Ghana),도입·감독 주체: 가나 회계사협회(ICAG) – 증권위원회 및 중앙은행 협력,적용 대상: 공공이해관계기업(대규모 공기업 등) 및 민간기업 전체 단계 적용,"적용 단계 일정: 2023년 ICAG가 IFRS S1, S2 도입 발표 – 2024년부터 모든 기업 대상 자율적 적용 개시, 2025년 1월부터 주요 공공부문 기관에 공시 의무화, 이후 기타 기업으로 확대 적용; 공공기관의 전면 이행 시기는 국제공공부문회계기준위원회(IPSASB) 권고 일정 준수","가나는 2023년에 회계사협회(ICAG)를 통하여 ISSB 지속가능성 기준의 채택을 공식 발표하고 로드맵을 제시하였습니다. 우선 2024년부터 가나 내 모든 기업들이 IFRS S1, S2 기준에 따른 공시를 _자발적으로 실시_할 수 있도록 장려하고, 2025년 1월 1일부터는 재무제표 공시의무가 있는 주요 공공부문 기관(공기업 등)에 해당 기준을 _우선 의무화_합니다. 이후 다른 민간기업들에도 적용 범위를 넓혀 나가며, 특히 국가 공공부문 전체에 대한 도입은 국제공공부문회계기준위원회(IPSASB)의 지속가능성 공시 권고 일정에 맞춰 진행될 예정입니다. 이처럼 가나는 2025년을 기점으로 대형 공공·공기업 부문부터 ISSB 공시기준을 도입하여 점차 전국적인 지속가능성 보고체계를 구축해 갈 계획입니다.",,
22,방글라데시(Bangladesh),도입·감독 주체: 방글라데시 중앙은행(Bangladesh Bank),적용 대상: 방글라데시 내 모든 은행 및 금융기관,"적용 단계 일정: 2023년 12월 중앙은행이 IFRS S1, S2 기반 지속가능성 공시 지침 발표; 2024년 6월말 한정된 중간보고 실시, 2024년 12월말 한정된 감독보고 실시, 2025년 연간보고서에 제한적 공시 도입, 2026년 공시 범위 확대, 2027년 완전한 공시 체계 구축","방글라데시 중앙은행은 2023년 말 은행·금융권을 위한 ISSB 공시 지침을 발행하여 IFRS S1과 S2를 기반으로 한 보고 체계를 마련했습니다. 이 지침에 따르면, 2024년에는 은행 등 금융기관이 6월말까지 _제한된 범위의 중간 지속가능성 보고_를 처음 실시하고 12월말까지 _한정된 감독용 보고_를 제출해야 합니다. 이어 2025년부터는 연간보고서에 일부 지속가능성 정보를 포함하는 형태로 공시를 시작하고, 2026년에는 공시 내용을 더욱 상세히 확대하며, 2027년에 가서는 IFRS S1, S2 요건을 거의 완전히 충족하는 보고를 실시하도록 로드맵이 구성되어 있습니다. 방글라데시는 이처럼 3년에 걸친 단계적 이행을 통해 금융권부터 국제적 지속가능성 공시기준에 부합하는 투명성 제고를 도모하고 있습니다.",,
