term_id,term_en,definition_en,term_ko,definition_ko,created_at,updated_at
11,"indirect greenhouse
gas emissions","Emissions that are a consequence of the activities of an entity,
but occur at sources owned or controlled by another entity.",간접 온실가스 배출,"기업 활동의 결과로 발생하지만, 배출원은 다른 기업이 소유·통제하는 곳에 위치한 배출.",,
12,internal carbon price,"Price used by an entity to assess the financial implications of
changes to investment, production and consumption patterns,
and of potential technological progress and future emissionsabatement costs. An entity can use internal carbon prices for a
range of business applications. Two types of internal carbon
prices that an entity commonly uses are:
(a) a shadow price, which is a theoretical cost or notional
amount that the entity does not charge but that can be
used to understand the economic implications or tradeoffs for such things as risk impacts, new investments,
the net present value of projects, and the cost and
benefit of various initiatives; and
(b) an internal tax or fee, which is a carbon price charged to
a business activity, product line, or other business unit
based on its greenhouse gas emissions (these internal
taxes or fees are similar to intracompany transfer
pricing).",내부 탄소 가격,"기업이 투자·생산·소비 패턴 변화, 기술 발전, 미래 배출 감축 비용의 재무적 영향을 평가할 때 사용하는 가격. 기업이 흔히 사용하는 두 가지 내부 탄소 가격: (a) 섀도 가격: 실제 부과하지 않는 이론적 비용 또는 명목 금액으로, 위험 영향·신규 투자·프로젝트 순현재가치·다양한 이니셔티브의 비용·편익 등 경제적 함의를 이해할 때 사용. (b) 내부 세금/수수료: 사업 활동·제품 라인·사업 부문에 그 배출량을 기준으로 부과하는 탄소 가격(회사 내부 이전가격과 유사).",,
13,"latest international
agreement on climate
change","An agreement by states, as members of the United Nations
Framework Convention on Climate Change, to combat climate
change. The agreements set norms and targets for a reduction
in greenhouse gases",최신 국제 기후변화 협정,기후변화에 대응하기 위해 유엔기후변화협약(UNFCCC) 당사국들이 체결한 협정. 해당 협정은 온실가스 감축을 위한 규범과 목표를 설정한다.,,
14,"Scope 1 greenhouse
gas emissions","Direct greenhouse gas emissions that occur from sources that
are owned or controlled by an entity.",Scope 1 온실가스 배출,기업이 소유·통제하는 배출원에서 직접 발생하는 온실가스 배출.,,
15,"Scope 2 greenhouse
gas emissions","Indirect greenhouse gas emissions from the generation of
purchased or acquired electricity, steam, heating or cooling
consumed by an entity.
Purchased and acquired electricity is electricity that is
purchased or otherwise brought into an entity’s boundary.
Scope 2 greenhouse gas emissions physically occur at the
facility where electricity is generated.",Scope 2 온실가스 배출,"기업이 소비하는 구매·취득 전기, 스팀, 난방, 냉방의 생산 과정에서 발생하는 간접 온실가스 배출. 구매·취득 전기는 기업 경계 내로 유입된 전기를 의미하며, 범위 2 배출은 전기가 생산되는 시설에서 물리적으로 발생한다.",,
16,"Scope 3 greenhouse
gas emissions","Indirect greenhouse gas emissions (not included in Scope 2
greenhouse gas emissions) that occur in the value chain of an
entity, including both upstream and downstream emissions.
Scope 3 greenhouse gas emissions include the Scope 3
categories in the Greenhouse Gas Protocol Corporate Value
Chain (Scope 3) Accounting and Reporting Standard (2011).",Scope 3 온실가스 배출,기업의 가치사슬에서 발생하지만 범위 2에 포함되지 않는 간접 온실가스 배출(상류·하류 모두 포함). 〈온실가스 프로토콜 기업가치사슬(범위 3) 회계·보고 표준(2011)〉의 범위 3 모든 범주를 포함한다.,,
17,Scope 3 categories,"Scope 3 greenhouse gas emissions are categorised into these
15 categories—as described in the Greenhouse Gas Protocol
Corporate Value Chain (Scope 3) Accounting and Reporting
Standard (2011):
(1) purchased goods and services;
(2) capital goods;
(3) fuel- and energy-related activities not included in Scope
1 greenhouse gas emissions or Scope 2 greenhouse gas
emissions;
(4) upstream transportation and distribution;
(5) waste generated in operations;
(6) business travel;
(7) employee commuting;
(8) upstream leased assets;
(9) downstream transportation and distribution;
(10) processing of sold products;
(11) use of sold products;
(12) end-of-life treatment of sold products;
(13) downstream leased assets;
(14) franchises; and
(15) investments.",Scope 3 범주,〈온실가스 프로토콜 기업가치사슬(범위 3) 회계·보고 표준(2011)〉에서 정의된 15개 범주: (1) 구매한 재화·서비스(2) 자본재(3) 연료·에너지 관련 활동(범위 1·2 제외)(4) 상류 운송·유통(5) 운영 중 발생 폐기물(6) 출장(7) 직원 통근(8) 상류 임대 자산(9) 하류 운송·유통(10) 판매 제품 가공(11) 판매 제품 사용(12) 판매 제품 폐기 단계 처리(13) 하류 임대 자산(14) 프랜차이즈(15) 투자.,,
18,business model,"An entity’s system of transforming inputs through its activities
into outputs and outcomes that aims to fulfil the entity’s
strategic purposes and create value for the entity and hence
generate cash flows over the short, medium and long term.",사업 모델,"기업이 투입물을 활동을 통해 산출물·성과로 전환하여 전략적 목적을 달성하고, 단·중·장기적으로 현금흐름을 창출하도록 설계된 시스템.",,
19,disclosure topic ,"A specific sustainability-related risk or opportunity based on
the activities conducted by entities within a particular industry
as set out in an IFRS Sustainability Disclosure Standard or a
SASB Standard.",공시 주제,IFRS 지속가능성 공시기준 또는 SASB 기준에 명시된 산업별 활동에 근거한 특정 지속가능성 관련 위험 또는 기회.,,
20,"general purpose
financial reports","Reports that provide financial information about a reporting
entity that is useful to primary users in making decisions
relating to providing resources to the entity. Those decisions
involve decisions about:
(a) buying, selling or holding equity and debt instruments;
(b) providing or selling loans and other forms of credit; or
(c) exercising rights to vote on, or otherwise influence, the
entity’s management’s actions that affect the use of the
entity’s economic resources.
General purpose financial reports include—but are not
restricted to—an entity’s general purpose financial statements
and sustainability-related financial disclosures.",일반목적 재무보고서,"자원 제공과 관련한 의사결정을 내리는 주요 이용자에게 유용한 재무정보를 제공하는 보고서. 주요 이용자의 의사결정은 (a) 주식·채권 매수·매도·보유, (b) 대출·신용 제공·처분, (c) 경영진 행동에 대한 의결권 행사 또는 영향력 행사 등을 포함한다. 일반목적 재무보고서에는 기업의 일반목적 재무제표와 지속가능성 관련 재무 공시가 포함(이에 한정되지 않음)된다.",,
21,impracticable,"Applying a requirement is impracticable when an entity cannot
apply it after making every reasonable effort to do so",불가능,기업이 모든 합리적 노력을 다해도 해당 요구사항을 적용할 수 없는 경우.,,
22,"primary users of
general purpose
financial reports
(primary users)","Existing and potential investors, lenders and other creditors.",일반목적 재무보고서 주요 이용자,기존 및 잠재적 투자자·대출자·기타 채권자.,,
23,value chain ,"The full range of interactions, resources and relationships
related to a reporting entity’s business model and the external
environment in which it operates.
A value chain encompasses the interactions, resources and
relationships an entity uses and depends on to create its
products or services from conception to delivery, consumption
and end-of-life, including interactions, resources and relationships in the entity’s operations, such as human
resources; those along its supply, marketing and distribution
channels, such as materials and service sourcing, and product
and service sale and delivery; and the financing, geographical,
geopolitical and regulatory environments in which the entity
operates.",가치사슬,"기업의 비즈니스 모델과 그 운영 환경과 관련된 상호작용·자원·관계의 전체 범위. 가치사슬은 개념에서 최종 소비·폐기 단계까지, 그리고 기업 운영(인적 자원 등), 공급·마케팅·유통 채널(재료·서비스 조달, 제품·서비스 판매·전달), 금융·지리·지정학·규제 환경 등 기업이 의존·활용하는 상호작용·자원·관계를 포괄한다.",,
