requirement_id,disclosure_id,requirement_order,requirement_text_ko,data_required_type,input_schema,input_placeholder_ko,input_guidance_ko,created_at,updated_at
gov-22,s2-g6,3,"기후 관련 목표 설정 및 진척도 관리·감독과 관련된 주요 현황이 있다면, 아래 표에 추가하여 작성해주세요.",table_input,"{
""columns"": [
{
""name"": ""activity_category"",
""label"": ""구분"",
""type"": ""select"",
""options"": [""진척도 관리감독"", ""목표설정""]
},
{
""name"": ""activity_date"",
""label"": ""일자"",
""placeholder"": ""YYYY-MM-DD"",
""type"": ""date""
},
{
""name"": ""activity_details"",
""label"": ""내용"",
""placeholder"": ""예: 2024년도 온실가스 감축 목표 설정 검토"",
""type"": ""text_long""
}
]
}",,,,
gov-23,s2-g6,4,"기후 관련 성과가 경영진의 보상 정책에 어떻게 연계되어 있는지, 그 근거 규정을 포함하여 설명해주세요.",text_long,,예: '사내이사 보수 지급 규정'에 근거하여 지속가능성 성과를 사내이사 보수와 연계,,,
gov-24,s2-g6,5,경영진의 보상과 연계되는 '종합적인 평가'의 세부적인 구성 항목(계량/비계량 지표 등)에 대해 구체적으로 설명해주세요.,text_long,,"예: 계량지표(매출액, ESG 평가결과), 비계량지표(ESG 경영고도화 등)를 종합적으로 평가하며, 특히 ESG 경영고도화 항목에서는...",,,
gov-25,s2-g8,1,기후 관련 의사결정기구는 기후 관련 책임을 누구(어떤 조직)에게 위임하나요?,text,,"예: 경영진, ESG 전담부서",,,
gov-26,s2-g8,2,"경영진 내에서 기후 관련 업무를 담당하는 주요 직책과, 각 직책의 역할 및 책임을 추가하여 작성해주세요.",structured_list,"{
""fields"": [
{
""name"": ""management_position"",
""label"": ""경영진 직책"",
""placeholder"": ""예: CEO, CSO 겸 CFO"",
""type"": ""text""
},
{
""name"": ""responsibilities"",
""label"": ""주요 역할 및 책임"",
""placeholder"": ""예: 기후변화 전략 이행 총괄 및 관리감독 수행"",
""type"": ""text_long""
}
]
}",,,,
gov-27,s2-g9,1,"기후/ESG 관련 내부통제 및 감사 절차에 대해 설명해주세요. (감사 주체, 보고 라인, 지적사항에 대한 개선 및 후속 조치 과정 포함)",text_long,,"예: 감사위원회가 감사를 수행하여 경영진에 보고하며, 지적사항에 대해 현업부서가 개선계획을 제출하고..",,,
gov-28,s2-g9,2,내부감사의 주제는 어떤 방식으로 선정되나요?,text_long,,"예: 연간 감사계획 수립 시, 감사단 자체 리스크 평가를 통해 선정",,,
str-1,s2-s2,1,"기후 관련 위험 및 기회를 식별하고 평가할 때, 어떤 정보 출처 또는 데이터 소스를 주로 활용하셨나요?",text,,"예: SASB 표준, IPCC 보고서, 자체 시장 분석 데이터, 정부 정책 문서 등",,,
str-2,s2-s2,2,"만약 SASB와 같이 특정 산업 주제를 가진 프레임워크를 활용하셨다면, '사업모형' 관점에서 고려한 주제는 무엇인가요?",text,,예: 식음료 부문의 담배(Tobacco) 및 가공식품(Processed_Foods),,,
str-3,s2-s2,3,"만약 SASB와 같이 특정 산업 주제를 가진 프레임워크를 활용하셨다면, '가치사슬' 관점에서 고려한 주제는 무엇인가요?",text,,"예: 농산물(Agricultural Products), 용기 및 포장(Containers Packaging) 등",,,
str-4,s2-s2,4,식별된 주요 기후 관련 위험 및 기회를 아래 표에 모두 추가하여 작성해주세요.,table_input,"{
""columns"": [
{
""name"": ""category"",
""label"": ""구분"",
""type"": ""select"",
""options"": [""전환 리스크"", ""물리적 리스크"", ""기회""]
},
{
""name"": ""type"",
""label"": ""유형"",
""placeholder"": ""예: 정책, 기술 등"",
""type"": ""text""
},
{
""name"": ""factor"",
""label"": ""위험 및 기회 요인"",
""placeholder"": ""예: 탄소배출규제 강화"",
""type"": ""text_long""
},
{
""name"": ""description"",
""label"": ""설명"",
""placeholder"": ""위험/기회 요인에 대한 상세 설명"",
""type"": ""text_long""
},
{
""name"": ""short_term_impact"",
""label"": ""단기"",
""type"": ""select"",
""options"": [""상"", ""중"", ""하"", ""해당없음""]
},
{
""name"": ""mid_term_impact"",
""label"": ""중기"",
""type"": ""select"",
""options"": [""상"", ""중"", ""하"", ""해당없음""]
},
{
""name"": ""long_term_impact"",
""label"": ""장기"",
""type"": ""select"",
""options"": [""상"", ""중"", ""하"", ""해당없음""]
}
]
}",,,,
str-5,s2-s3,1,보고서에 사용될 '단기(Short-term)'의 기간 및 정의는 무엇인가요?,text,,예: 1년 이하,,,
str-6,s2-s3,2,보고서에 사용될 '중기(Mid-term)'의 기간 및 정의는 무엇인가요?,text,,예: 1년 초과 5년 이하,,,
str-7,s2-s3,3,보고서에 사용될 '장기(Long-term)'의 기간 및 정의는 무엇인가요?,text,,예: 5년 초과,,,
str-8,s2-s3,4,"기업의 공식적인 전략 계획 주기(예: 중장기 사업계획)는 어떻게 되며, 이 계획 수립 과정에서 기후 관련 요소를 어떻게 연계하여 고려하는지 설명해주세요",text_long,,"예: 3년 단위의 사업계획과 5년 단위의 중장기 비전을 수립하며, 계획 수립 시 대외 동향 분석 단계에서 기후 관련 위험 및 기회를 고려합니다.",,,
str-9,s2-s5,1,"기업의 비즈니스 모델을 구성하는 주요 사업 부문과, 각 부문의 핵심 사업 내용을 추가하여 작성해주세요.",structured_list,"{
""fields"": [
{
""name"": ""segment_name"",
""label"": ""사업 부문명"",
""placeholder"": ""예: 담배부문, 건강기능부문"",
""type"": ""text""
},
{
""name"": ""segment_description"",
""label"": ""주요 사업 내용"",
""placeholder"": ""예: 궐련 및 차세대 전자담배 등의 제조와 판매 사업을 운영"",
""type"": ""text_long""
}
]
}",,,,
str-10,s2-s5,2,"기업의 '가치사슬(Value Chain)'은 어떤 범위(예: 원자재 수급, 생산, 소비, 폐기 등)를 포함하는지, 그 정의를 설명해주세요.",text_long,,"예: 제품 기획에서 배송, 소비 및 수명종료에 이르기까지 제품/서비스 생산에 사용되는 모든 상호작용, 자원, 관계",,,
str-11,s2-s5,3,기후 관련 위험 및 기회를 중점적으로 식별한 핵심 사업 부문은 어디인가요? (복수일 경우 모두 기재),text,,"예: 담배부문, 건강기능부문",,,
str-12,s2-s5,4,위에서 답변한 핵심 사업 부문의 '사업 모형'을 구성하는 주요 활동들을 나열해주세요.,text,,"예: 제품 및 기술 연구개발, 산출물의 생산제조, 영업 및 마케팅",,,
str-13,s2-s5,5,위에서 답변한 핵심 사업 부문의 '가치사슬'을 구성하는 주요 활동들을 나열해주세요.,text,,"예: 업스트림에서의 원재료 구매, 유통 및 운송, 다운스트림에서의 제품 사용 및 폐기",,,
str-14,s2-s5,6,위에서 식별한 각 위험 및 기회 요인이 사업모형과 가치사슬에 미치는 영향을 아래 형식에 맞게 추가하여 작성해주세요.,structured_list,"{
""fields"": [
{
""name"": ""risk_opportunity_factor"",
""label"": ""위험 및 기회 요인"",
""placeholder"": ""'위험 및 기회' 카테고리에서 입력한 요인 중 하나를 선택 또는 직접 입력"",
""type"": ""text""
},
{
""name"": ""overview_description"",
""label"": ""영향 개요 설명"",
""placeholder"": ""해당 위험/기회에 대한 전반적인 설명과 사업에 미치는 주된 영향을 서술해주세요."",
""type"": ""text_long""
},
{
""name"": ""impact_details_table"",
""label"": ""활동별 상세 영향"",
""type"": ""table_input"",
""guidance"": ""표의 '활동' 컬럼에는 바로 위 항목에서 답변하신 사업모형 및 가치사슬 활동들을 기재해주세요."",
""schema"": {
""columns"": [
{
""name"": ""activity"",
""label"": ""활동"",
""type"": ""text""
},
{
""name"": ""current_impact"",
""label"": ""현재"",
""type"": ""text_long""
},
{
""name"": ""future_impact"",
""label"": ""예상"",
""type"": ""text_long""
}
]
}
}
]
}",,,,
str-15,s2-s6,1,"기업의 사업 모델, 가치사슬, 지리적 위치, 시설 유형 등 기후 관련 위험 및 기회가 특히 집중되어 있는 영역에 대해 종합적으로 기술해주세요.",text_long,,"예: 원재료·자재 등 투입물 구매와 생산제조, 제품 및 기술 연구개발 / 아시아 지역에 위치한 생산 시설 / 반도체 웨이퍼 등 핵심 자산",,,
str-16,s2-s8,1,"가장 최근 보고기간 동안, 기후 관련 요인으로 인해 사업 모델의 자원 배분에 직접적인 변화가 있었나요? 있었다면 그 내용을, 없었다면 ""변화 없음""으로 기재해주세요.",text,,예: 기후변화 관련 위험과 기회에 대한 전략 및 재무계획의 회복탄력성 평가,,,
str-17,s2-s8,2,향후 기후 대응을 위해 자원을 배분할 계획이 있는 주요 분야나 활동 유형은 무엇인가요?,text,,"예: NGFS(금융감독기관협의체), IEA(국제에너지기구), IPCC 등",,,
str-18,s2-s8,3,"위 자원배분 계획과 관련된 구체적인 투자나 프로젝트 사례가 있다면, 아래 형식에 맞게 추가하여 작성해주세요.",structured_list,"{
""fields"": [
{ ""name"": ""project_name"", ""label"": ""프로젝트명"", ""type"": ""text"", ""placeholder"": ""예: 친환경 하수처리공장 신설"" },
{ ""name"": ""project_location_scale"", ""label"": ""위치 및 규모"", ""type"": ""text"", ""placeholder"": ""예: 고려대학교 경영대학 1,583㎡ 부지"" },
{ ""name"": ""project_investment"", ""label"": ""투자 규모"", ""type"": ""text"", ""placeholder"": ""예: 약 1,000억 원"" },
{ ""name"": ""project_timeline"", ""label"": ""주요 일정"", ""type"": ""text"", ""placeholder"": ""예: 2026년 준공 예정"" },
{ ""name"": ""project_details"", ""label"": ""프로젝트 상세 내용 및 기대효과"", ""type"": ""text_long"", ""placeholder"": ""예: 최첨단 하수처리 자동화 도입, 친환경건축인증(LEED) GOLD 등급 목표 등"" }
]
}","예: 1.5℃ 시나리오, 4℃ 시나리오 등",,,
str-19,s2-s9,1,기후 대응을 위한 '직접적인' 완화 및 적응 노력에 대한 주요 활동들을 그룹별로 추가하여 작성해주세요.,structured_list,"{
""fields"": [
{
""name"": ""effort_category"",
""label"": ""구분"",
""placeholder"": ""예: ① 제품 소재 변경, ② 재생에너지 조달 및 사용 확대"",
""type"": ""text""
},
{
""name"": ""detailed_actions"",
""label"": ""세부 활동 내용"",
""type"": ""table_input"",
""schema"": {
""columns"": [
{
""name"": ""action_description"",
""label"": ""내용"",
""type"": ""text_long""
},
{
""name"": ""is_mitigation"",
""label"": ""완화"",
""type"": ""boolean""
},
{
""name"": ""is_adaptation"",
""label"": ""적응"",
""type"": ""boolean""
},
{
""name"": ""is_current"",
""label"": ""현재"",
""type"": ""boolean""
},
{
""name"": ""is_future"",
""label"": ""예상"",
""type"": ""boolean""
}
]
}
}
]
}",,,,
str-20,s2-s9,2,위 표에서 작성한 각 세부 활동에 대한 보고서 본문 내용을 아래 형식에 맞게 작성해주세요.,structured_list,"{
""source_requirement"": ""str-19"",
""source_field_to_display"": ""action_description"",
""fields"": [
{
""name"": ""narrative_text"",
""label"": ""상세 서술 내용"",
""type"": ""text_long"",
""placeholder"": ""해당 활동의 배경, 구체적인 실행 내용, 정량적 성과, 향후 계획 등을 자유롭게 서술해주세요.""
}
]
}",,,,
str-21,s2-s10,1,기후 대응을 위한 '간접적인' 완화 및 적응 노력에 대한 주요 활동들을 그룹별로 추가하여 작성해주세요.,structured_list,"{
""fields"": [
{
""name"": ""effort_category"",
""label"": ""구분"",
""placeholder"": ""예: ① 공급망 관리, ② 지역사회 협력"",
""type"": ""text""
},
{
""name"": ""detailed_actions"",
""label"": ""세부 활동 내용"",
""type"": ""table_input"",
""schema"": {
""columns"": [
{
""name"": ""action_description"",
""label"": ""내용"",
""type"": ""text_long""
},
{
""name"": ""is_mitigation"",
""label"": ""완화"",
""type"": ""boolean""
},
{
""name"": ""is_adaptation"",
""label"": ""적응"",
""type"": ""boolean""
},
{
""name"": ""is_current"",
""label"": ""현재"",
""type"": ""boolean""
},
{
""name"": ""is_future"",
""label"": ""예상"",
""type"": ""boolean""
}
]
}
}
]
}",,,,
str-22,s2-s10,2,위 표에서 작성한 각 간접적 세부 활동에 대한 보고서 본문 내용을 아래 형식에 맞게 작성해주세요.,structured_list,"{
""source_requirement"": ""str-21"",
""source_field_to_display"": ""action_description"",
""fields"": [
{
""name"": ""narrative_text"",
""label"": ""상세 서술 내용"",
""type"": ""text_long"",
""placeholder"": ""해당 활동의 배경, 구체적인 실행 내용, 정량적 성과, 향후 계획 등을 자유롭게 서술해주세요.""
}
]
}",,,,
str-23,s2-s11,1,"기업의 기후 관련 전환 계획을 수립할 때 기반으로 삼은 주요 원칙, 프레임워크, 그리고 궁극적인 장기 목표(예: Net-Zero)는 무엇인가요?",text_long,,,,,
str-24,s2-s11,2,"기업의 주요 기후 관련 정량 목표(온실가스 감축, 재생에너지 사용, Net-Zero 등)가 있다면 아래 표에 추가하여 작성해주세요.",table_input,"{
""columns"": [
{
""name"": ""target_category"",
""label"": ""목표 구분"",
""placeholder"": ""예: 온실가스 감축, 재생에너지 사용, 탄소중립(Net-Zero)"",
""type"": ""text""
},
{
""name"": ""scope"",
""label"": ""대상 범위"",
""placeholder"": ""예: Scope 1+2, 가치사슬 전체"",
""type"": ""text""
},
{
""name"": ""target_year"",
""label"": ""목표 연도"",
""placeholder"": ""예: 2030, 2045"",
""type"": ""text""
},
{
""name"": ""target_details"",
""label"": ""상세 목표 내용"",
""placeholder"": ""예: 2020년 대비 42% 감축, 100% 전환"",
""type"": ""text_long""
}
]
}",,,,
str-25,s2-s11,3,"Scope 3 배출량 관리를 위한 별도의 전략(산정 고도화, 협력사 지원, 감축 목표 등)이 있다면 구체적으로 설명해주세요.",text_long,,,,,
str-26,s2-s12,1,"전환 계획 수립 시 고려한 주요 가정과, 해당 가정에 영향을 미치는 의존 요소(또는 종속 변수)가 있다면 아래 표에 추가하여 작성해주세요.",table_input,"{
""columns"": [
{
""name"": ""assumption"",
""label"": ""주요 가정"",
""placeholder"": ""예: 예상 온실가스 배출량 산정 조건"",
""type"": ""text_long""
},
{
""name"": ""dependency"",
""label"": ""의존 요소"",
""placeholder"": ""예: 전환 계획 이행을 위한 물리적, 인적 자원의 가용성"",
""type"": ""text_long""
}
]
}",,,,
str-27,s2-s13,1,"기후 목표 달성을 위한 구체적인 감축 수단 및 이행 계획이 있다면, 아래 표에 추가하여 작성해주세요.",table_input,"{
""columns"": [
{
""name"": ""action_category"",
""label"": ""구분"",
""placeholder"": ""예: 자체 태양광 발전 설비 확대, 고효율 설비 전환"",
""type"": ""text""
},
{
""name"": ""action_plan"",
""label"": ""달성 계획"",
""placeholder"": ""예: 2023년부터 주요 사업장에 태양광 설비를 가동하여 2030년까지 감축 포트폴리오의 21% 달성"",
""type"": ""text_long""
}
]
}",,,,
str-28,s2-s14,1,그린본드 발행 등 기후 목표 달성을 위한 친환경 자금 조달 사례가 있다면 추가하여 작성해주세요.,structured_list,"{
""fields"": [
{ ""name"": ""financing_type"", ""label"": ""자금 조달 유형"", ""type"": ""text"", ""placeholder"": ""예: 그린본드(Green Bond)"" },
{ ""name"": ""issue_date"", ""label"": ""발행/조달 일자"", ""type"": ""text"", ""placeholder"": ""예: 2024년 4월"" },
{ ""name"": ""scale"", ""label"": ""규모"", ""type"": ""text"", ""placeholder"": ""예: 1,000억 원"" },
{ ""name"": ""use_of_proceeds"", ""label"": ""자금 활용 계획"", ""type"": ""text_long"", ""placeholder"": ""예: 신재생에너지, 친환경 건축물 구축 등 프로젝트 투자"" }
]
}",,,,
str-29,s2-s14,2,"내부 탄소가격제 등 기후 관련 투자 의사결정을 지원하는 내부 정책이나 가이드라인이 있다면, 그 내용과 기대효과에 대해 설명해주세요.",text_long,,,,,
str-30,s2-s14,3,비용 효율적인 온실가스 감축 수단을 선정하고 실행하는 방법론(예: 한계감축비용 분석)이 있다면 설명해주세요.,text_long,,,,,
str-31,s2-s14,4,기후변화 대응을 위한 전문 인력 채용 및 운영 계획이 있다면 추가하여 작성해주세요.,structured_list,"{
""fields"": [
{ ""name"": ""hiring_period"", ""label"": ""채용 시기"", ""type"": ""text"", ""placeholder"": ""예: 2023년 이후"" },
{ ""name"": ""num_of_hires"", ""label"": ""채용 인원"", ""type"": ""number"", ""placeholder"": ""예: 4"" },
{ ""name"": ""roles_and_plans"", ""label"": ""주요 역할 및 운영 계획"", ""type"": ""text_long"", ""placeholder"": ""예: 관련 부서에 배치하여 온실가스 저감 계획 수립, 모니터링 등 관련 업무 수행"" }
]
}",,,,
str-32,s2-s15,1,기업의 기후 시나리오 분석 수행 목적은 무엇인가요?,text_long,,"예: 기후변화가 비즈니스에 미치는 잠재적 영향을 다각적으로 예측하고, 이에 대응하는 중장기 사업 전략 및 재무계획의 견고함을 선제적으로 평가하기 위해",,,
str-33,s2-s16,1,시나리오 분석 시 참고한 외부 기관이나 프레임워크는 무엇인가요?,text,,예: 국제에너지기구(IEA)의 미래 에너지 전망 시나리오,,,
str-34,s2-s16,2,"분석에 활용한 주요 기후 시나리오들은 무엇이며, 각 시나리오를 선택한 이유는 무엇인가요?",text_long,,예: 전환 리스크와 물리적 리스크의 수준이 상이한 1.5℃ 시나리오와 4℃ 시나리오 두 가지 핵심 시나리오를 활용,,,
str-35,s2-s17,1,기업의 기후 시나리오 분석 절차를 주요 단계별로 순서에 맞게 추가하여 작성해주세요.,structured_list,"{
""fields"": [
{
""name"": ""step_description"",
""label"": ""분석 단계"",
""placeholder"": ""예: 1단계 - 주요 리스크/기회 식별"",
""type"": ""text""
}
]
}",,,,
str-36,s2-s17,2,시나리오 분석에 사용된 각 시나리오별 주요 가정과 핵심 변수(입력변수)를 아래 표에 추가하여 작성해주세요.,table_input,"{
""columns"": [
{
""name"": ""scenario_name"",
""label"": ""시나리오"",
""placeholder"": ""예: 1.5℃ 시나리오 (NZE)"",
""type"": ""text""
},
{
""name"": ""key_assumptions"",
""label"": ""주요 가정"",
""placeholder"": ""예: 강력한 탄소 규제 및 저탄소 경제로의 급격한 전환"",
""type"": ""text_long""
},
{
""name"": ""input_variables"",
""label"": ""핵심 변수 (투입변수)"",
""placeholder"": ""예: 탄소 가격(Carbon Price), 신재생에너지 비중, 폭염 발생 빈도 등"",
""type"": ""text_long""
}
]
}",,,,
str-37,s2-s18,1,식별한 각 위험 및 기회 요인에 대한 재무적 영향과 대응 현황을 아래 형식에 맞게 작성해주세요.,structured_list,"{
""source_requirement"": ""str-4"",
""source_field_to_display"": ""factor"",
""fields"": [
{
""name"": ""financial_impact"",
""label"": ""재무적 영향"",
""type"": ""text_long"",
""placeholder"": ""해당 요인이 기업의 재무 상태에 미치는 구체적인 영향(비용 증가, 매출 변동 등)을 서술해주세요.""
},
{
""name"": ""response_strategy"",
""label"": ""대응 현황"",
""type"": ""text_long"",
""placeholder"": ""해당 요인에 대응하기 위한 기업의 현재 및 향후 계획, 전략 등을 서술해주세요.""
}
]
}",,,,
str-38,s2-s18,2,식별한 각 전환 리스크 요인에 대한 상세 분석 및 재무적 영향 내용을 아래 형식에 맞게 작성해주세요.,structured_list,"{
""source_requirement"": ""str-4"",
""source_filter"": { ""category"": [""전환 리스크""] },
""source_field_to_display"": ""factor"",
""fields"": [
{
""name"": ""analysis_overview"",
""label"": ""분석 개요 및 시나리오 분석 결과"",
""type"": ""text_long"",
""placeholder"": ""해당 전환 리스크를 중요하게 선정한 이유와, 시나리오 분석을 통해 나타난 리스크 수준의 변화(시기별, 시나리오별)를 설명해주세요.""
},
{
""name"": ""context_and_impact"",
""label"": ""시장/규제 동향 및 가치사슬 영향"",
""type"": ""text_long"",
""placeholder"": ""해당 리스크와 관련된 외부 동향(규제, 시장 가격 등)과, 이 리스크가 기업의 가치사슬(운영, 물류 등)에 미치는 영향을 설명해주세요.""
},
{
""name"": ""quantification_methodology"",
""label"": ""재무적 영향 산출 방법론"",
""type"": ""text_long"",
""placeholder"": ""재무적 영향을 추정하기 위해 사용한 기준, 가정, 계산 방법 등을 설명해주세요.""
},
{
""name"": ""financial_statement_impact"",
""label"": ""재무제표 영향"",
""type"": ""text_long"",
""placeholder"": ""해당 전환 리스크가 손익계산서, 재무상태표, 현금흐름표의 특정 계정(매출원가, 충당부채 등)에 미치는 영향을 구체적으로 서술해주세요.""
}
]
}",,,,
